timestamps,TP9,AF7,AF8,TP10,Right AUX
1739045366.169,6.836,-317.383,-265.137,92.285,0.000
1739045366.173,7.324,-654.297,-450.684,89.355,0.000
1739045366.177,-9.766,-899.902,-492.188,109.863,0.000
1739045366.180,-24.902,-577.148,-286.621,107.910,0.000
1739045366.184,6.836,-196.777,-201.172,116.699,0.000
1739045366.188,76.172,-557.617,-367.188,129.883,0.000
1739045366.192,17.090,-751.953,-393.066,167.480,0.000
1739045366.196,-43.945,-235.840,-185.547,124.023,0.000
1739045366.200,13.672,-158.203,-210.449,67.871,0.000
1739045366.204,10.254,-397.461,-251.465,105.957,0.000
1739045366.208,-28.320,-379.395,-207.520,115.723,0.000
1739045366.212,-14.160,-159.668,-179.199,103.516,0.000
1739045366.216,-5.859,-194.824,-235.352,85.938,0.000
1739045366.220,-2.930,-509.277,-323.242,79.102,0.000
1739045366.223,-7.812,-633.789,-309.570,99.609,0.000
1739045366.227,-3.418,-541.504,-298.828,116.699,0.000
1739045366.231,-23.438,-551.758,-331.543,106.934,0.000
1739045366.235,-38.086,-725.586,-346.191,104.004,0.000
1739045366.239,-39.551,-510.254,-243.164,146.484,0.000
1739045366.243,-21.973,-102.051,-193.848,102.539,0.000
1739045366.247,-25.391,-306.152,-289.062,77.637,0.000
1739045366.251,-12.695,-500.000,-329.102,119.141,0.000
1739045366.255,-8.789,-330.566,-257.812,100.586,0.000
1739045366.259,19.531,-195.801,-219.238,105.469,0.000
1739045366.263,60.547,-393.555,-318.848,90.332,0.000
1739045366.267,66.406,-697.266,-418.457,50.781,0.000
1739045366.270,101.074,-547.852,-309.570,137.207,0.000
1739045366.274,36.621,-250.488,-202.148,201.172,0.000
1739045366.278,-18.555,-568.359,-370.605,130.859,0.000
1739045366.282,21.973,-840.332,-459.473,100.586,0.000
1739045366.286,56.152,-343.262,-211.914,128.418,0.000
1739045366.290,-0.488,-169.922,-215.820,124.023,0.000
1739045366.294,11.230,-548.340,-291.016,33.691,0.000
1739045366.298,51.270,-519.531,-227.539,33.691,0.000
1739045366.302,78.613,-101.562,-142.578,41.504,0.000
1739045366.306,102.539,-44.922,-118.164,56.152,0.000
1739045366.310,83.496,-369.141,-233.398,75.195,0.000
1739045366.313,82.031,-470.703,-205.566,96.680,0.000
1739045366.317,116.211,-215.332,-108.887,104.492,0.000
1739045366.321,127.930,-153.320,-133.301,43.945,0.000
1739045366.325,105.469,-506.836,-192.871,97.168,0.000
1739045366.329,17.090,-363.281,-63.477,139.648,0.000
